record_id,option_name,city,micro_market,property_stage,rera_evidence,legal_evidence,indicative_price_per_sqft,rental_yield_pct,liveability_score,liquidity_score,transit_score,growth_score,risk_score,climate_risk_score,water_risk_score,supply_risk_score,vacancy_pct,maintenance_pct,transaction_cost_pct,price_growth_p10_pct,price_growth_p50_pct,price_growth_p90_pct,rent_growth_pct,evidence_score,source_id,source_url,observed_on,confidence,notes
house-001,Whitefield established search zone,Bengaluru,Whitefield,locality_reference,project_check_required,property_due_diligence_required,14500,3.2,82,83,80,72,40,42,55,45,6,0.9,8,1.0,6.0,10.0,5.0,62,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Reference search zone; water and exact commute require project checks
house-002,Sarjapur Road growth search zone,Bengaluru,Sarjapur Road,locality_reference,project_check_required,property_due_diligence_required,11800,3.4,72,72,61,82,52,48,62,58,7,0.9,8,-1.0,7.0,12.0,6.0,58,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Supply water and infrastructure execution can dominate returns
house-003,Hebbal airport corridor search zone,Bengaluru,Hebbal,locality_reference,project_check_required,property_due_diligence_required,13500,3.1,79,78,74,76,43,40,48,48,6,0.9,8,0.0,6.5,10.5,5.0,60,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Micro-market reference rather than property valuation
house-004,Electronic City value search zone,Bengaluru,Electronic City,locality_reference,project_check_required,property_due_diligence_required,8500,3.7,69,67,70,74,49,45,52,55,8,0.8,8,-1.0,5.5,10.0,5.5,58,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Resale depth differs materially by exact project
house-005,Thane established search zone,Mumbai,Thane,locality_reference,project_check_required,property_due_diligence_required,21000,2.9,80,86,82,68,43,46,42,44,5,1.0,7,0.0,5.0,8.5,4.5,64,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Society title and redevelopment exposure remain property-specific
house-006,Navi Mumbai transit search zone,Mumbai,Navi Mumbai,locality_reference,project_check_required,property_due_diligence_required,17500,3.1,76,80,78,78,47,44,45,52,6,0.9,7,-1.0,6.5,11.0,5.0,62,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Infrastructure delivery and exact station access require verification
house-007,Western suburbs established search zone,Mumbai,Western Suburbs,locality_reference,project_check_required,property_due_diligence_required,30000,2.6,84,90,86,62,38,40,38,38,4,1.0,7,1.0,5.0,8.0,4.0,66,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,High entry price makes negotiated basis decisive
house-008,Peripheral Mumbai growth search zone,Mumbai,Peripheral MMR,locality_reference,project_check_required,property_due_diligence_required,12500,3.4,62,58,52,82,64,58,56,68,10,0.8,7,-3.0,6.0,12.0,5.5,52,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Delivery commute and resale uncertainty are high
house-009,Kharadi employment search zone,Pune,Kharadi,locality_reference,project_check_required,property_due_diligence_required,12000,3.4,80,81,74,77,39,36,38,48,5,0.8,7,0.0,6.5,10.5,5.0,63,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Employment demand is supportive but supply must be checked
house-010,Hinjawadi value search zone,Pune,Hinjawadi,locality_reference,project_check_required,property_due_diligence_required,8500,3.8,69,69,58,80,52,42,46,60,8,0.8,7,-2.0,6.5,11.5,6.0,57,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Commute and supply pipeline can reduce realised value
house-011,Baner established search zone,Pune,Baner,locality_reference,project_check_required,property_due_diligence_required,13500,3.2,83,82,76,70,37,35,40,42,5,0.9,7,1.0,5.8,9.0,4.8,62,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Price discipline remains important in mature inventory
house-012,Wagholi growth search zone,Pune,Wagholi,locality_reference,project_check_required,property_due_diligence_required,7200,4.0,65,61,54,79,58,46,50,66,10,0.7,7,-3.0,5.8,11.5,6.0,53,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Infrastructure and oversupply create wide outcomes
house-013,Gachibowli established search zone,Hyderabad,Gachibowli,locality_reference,project_check_required,property_due_diligence_required,12500,3.2,82,82,78,76,38,32,40,48,5,0.8,7,1.0,6.5,10.0,5.0,63,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Technology concentration should be stress-tested
house-014,Kokapet growth search zone,Hyderabad,Kokapet,locality_reference,project_check_required,property_due_diligence_required,11000,3.0,72,73,68,84,48,35,42,62,7,0.8,7,-1.0,7.0,12.0,5.5,58,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Future supply and execution can alter appreciation
house-015,Miyapur transit-value search zone,Hyderabad,Miyapur,locality_reference,project_check_required,property_due_diligence_required,7800,3.8,74,72,80,72,43,38,48,52,7,0.7,7,0.0,5.8,9.5,5.2,59,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Project quality dispersion is material
house-016,Shamshabad peripheral search zone,Hyderabad,Shamshabad,locality_reference,project_check_required,property_due_diligence_required,6200,3.5,58,52,48,82,68,44,55,72,12,0.7,7,-5.0,5.0,12.0,5.0,49,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Speculative land and low liquidity require a high risk tolerance
house-017,OMR employment search zone,Chennai,OMR,locality_reference,project_check_required,property_due_diligence_required,9000,3.4,76,73,70,72,46,58,62,52,7,0.8,7,-1.0,5.5,9.5,5.0,60,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Flood water and exact access must be checked site by site
house-018,Porur established search zone,Chennai,Porur,locality_reference,project_check_required,property_due_diligence_required,9800,3.2,80,76,72,68,42,52,48,46,6,0.8,7,0.0,5.0,8.5,4.5,61,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Drainage and traffic exposure vary by site
house-019,Medavakkam value search zone,Chennai,Medavakkam,locality_reference,project_check_required,property_due_diligence_required,7200,3.8,69,66,60,75,51,60,58,57,8,0.7,7,-2.0,5.5,10.0,5.5,55,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Water flood and resale evidence are binding diligence items
house-020,Anna Nagar established search zone,Chennai,Anna Nagar,locality_reference,project_check_required,property_due_diligence_required,16500,2.8,87,86,88,60,32,40,38,35,4,0.9,7,1.0,4.5,7.0,4.0,65,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Capital preservation is stronger than headline yield
house-021,Noida metro search zone,Delhi NCR,Noida,locality_reference,project_check_required,property_due_diligence_required,11500,3.2,76,76,82,74,47,48,42,58,7,0.8,7,-1.0,6.0,10.5,5.0,60,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,RERA and developer delivery evidence are essential
house-022,Gurugram employment search zone,Delhi NCR,Gurugram,locality_reference,project_check_required,property_due_diligence_required,17500,3.0,78,80,74,78,49,45,52,62,6,0.9,7,-1.0,6.5,11.0,5.0,62,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,High price and infrastructure variance demand project diligence
house-023,Ghaziabad value search zone,Delhi NCR,Ghaziabad,locality_reference,project_check_required,property_due_diligence_required,6800,4.0,64,60,68,68,58,54,48,64,10,0.7,7,-3.0,5.0,10.0,5.5,52,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Developer delivery and resale depth can dominate affordability
house-024,Greater Noida growth search zone,Delhi NCR,Greater Noida,locality_reference,project_check_required,property_due_diligence_required,7200,3.6,63,57,60,82,64,50,52,72,11,0.7,7,-4.0,5.8,12.0,5.5,50,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Long-duration and execution risks require a large margin of safety
house-025,New Town established search zone,Kolkata,New Town,locality_reference,project_check_required,property_due_diligence_required,8500,3.5,78,74,72,68,40,42,46,52,7,0.7,7,0.0,5.0,8.5,4.5,60,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Supply and last-mile connectivity vary by action area
house-026,Rajarhat growth search zone,Kolkata,Rajarhat,locality_reference,project_check_required,property_due_diligence_required,7200,3.8,68,64,60,74,51,44,48,62,9,0.7,7,-2.0,5.2,9.5,5.0,55,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Inventory depth and exact access need validation
house-027,South Kolkata established search zone,Kolkata,South Kolkata,locality_reference,project_check_required,property_due_diligence_required,10500,3.2,84,80,82,58,35,40,42,38,5,0.8,7,1.0,4.3,7.0,4.0,62,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Mature demand supports liquidity but caps growth
house-028,Howrah transit-value search zone,Kolkata,Howrah,locality_reference,project_check_required,property_due_diligence_required,6500,4.1,65,61,74,62,54,46,50,58,9,0.7,7,-2.0,4.8,8.5,5.0,54,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,low,Neighbourhood and project quality dispersion is wide
