record_id,pathway,pathway_score,on_pareto_frontier
career-001,Growth,75.66,False
career-002,Growth,78.77,False
career-003,Growth,70.17,False
career-004,Stable,65.7,False
career-005,Growth,71.05,False
career-006,Stable,67.84,False
career-007,Stable,67.88,False
career-008,Growth,70.93,False
career-009,Growth,83.47,True
career-010,Growth,84.83,True
career-011,Growth,79.58,False
career-012,Growth,75.28,True
career-013,Growth,73.22,True
career-014,Growth,73.33,True
career-015,Growth,75.05,False
career-016,Growth,68.2,False
career-017,Growth,74.39,True
career-018,Growth,76.5,True
career-019,Growth,69.46,False
career-020,Growth,70.45,False
career-021,Growth,73.17,False
career-022,Growth,74.76,True
career-023,Growth,72.7,True
career-024,Growth,69.91,False
career-025,Stable,67.91,False
career-026,Growth,68.7,False
