record_id,pathway,pathway_score,on_pareto_frontier
problem-001,Growth,79.92,False
problem-002,Growth,81.16,True
problem-003,Growth,80.56,False
problem-004,Persistent,69.88,False
problem-005,Persistent,70.68,False
problem-006,Persistent,74.35,False
problem-007,Growth,80.19,False
problem-008,Growth,78.9,False
problem-009,Growth,77.43,False
problem-010,Growth,82.39,False
problem-011,Growth,74.26,False
problem-012,Growth,80.9,False
problem-013,Persistent,79.87,True
problem-014,Growth,79.68,True
problem-015,Growth,77.39,False
problem-016,Growth,80.24,False
problem-017,Persistent,77.17,False
problem-018,Growth,80.53,False
problem-019,Growth,82.41,False
problem-020,Growth,78.53,False
problem-021,Growth,77.99,False
problem-022,Persistent,66.74,False
problem-023,Growth,75.3,False
problem-024,Growth,76.08,False
problem-025,Growth,79.92,False
problem-026,Growth,81.87,True
problem-027,Growth,76.8,False
problem-028,Persistent,79.05,True
problem-029,Growth,83.08,True
problem-030,Growth,78.35,True
