record_id,option_name,degree_level,field,target_region,duration_years,tuition_inr,living_cost_inr,total_cost_inr,funding_model,scholarship_score,work_rights_score,visa_uncertainty_score,quality_score,employability_score,overseas_start_salary_inr,india_return_salary_inr,employment_probability_score,roi_horizon_years,risk_score,completion_probability_pct,salary_p10_inr,salary_p50_inr,salary_p90_inr,tax_rate_pct,counterfactual_salary_inr,evidence_score,source_id,source_url,observed_on,confidence,notes
career-001,US public STEM undergraduate pathway,Undergraduate,Engineering / technology,United States,4,10500000,4800000,15300000,Primarily self-funded,42,72,70,86,84,6800000,1700000,76,6.2,70,82,4300000,6800000,10000000,25,700000,58,educationusa,https://educationusa.state.gov/,2026-08-23,low,Pathway synthesis; verify each institution offer and current work rules
career-002,US selective data undergraduate pathway,Undergraduate,Data / AI,United States,4,12500000,5000000,17500000,Primarily self-funded,35,72,72,92,88,7600000,1900000,79,6.0,74,84,4700000,7600000,11200000,26,700000,60,educationusa,https://educationusa.state.gov/,2026-08-23,low,High cost and sponsorship exposure require downside testing
career-003,Canadian technology undergraduate pathway,Undergraduate,Engineering / technology,Canada,4,6800000,3800000,10600000,Primarily self-funded,48,70,62,80,77,4300000,1500000,70,5.7,63,84,2900000,4300000,6500000,23,700000,64,canada_ircc,https://www.canada.ca/en/immigration-refugees-citizenship.html,2026-08-23,medium,Programme eligibility for post-graduation work must be checked
career-004,Canadian business undergraduate pathway,Undergraduate,Business / management,Canada,4,6200000,3800000,10000000,Primarily self-funded,45,70,62,77,72,3800000,1400000,67,6.4,64,83,2500000,3800000,5800000,23,700000,61,canada_ircc,https://www.canada.ca/en/immigration-refugees-citizenship.html,2026-08-23,medium,Outcomes vary widely by co-op access and institution
career-005,UK technology undergraduate pathway,Undergraduate,Engineering / technology,United Kingdom,3,7800000,3100000,10900000,Primarily self-funded,36,66,66,82,77,4600000,1600000,69,6.1,68,86,2900000,4600000,6800000,24,700000,62,uk_graduate_visa,https://www.gov.uk/graduate-visa,2026-08-23,medium,Compressed recruitment and sponsorship pathway require verification
career-006,UK business undergraduate pathway,Undergraduate,Business / management,United Kingdom,3,7200000,3000000,10200000,Primarily self-funded,34,66,66,80,73,4100000,1400000,66,6.5,69,85,2600000,4100000,6200000,24,700000,61,uk_graduate_visa,https://www.gov.uk/graduate-visa,2026-08-23,medium,Placement access matters more than headline ranking
career-007,Australian applied undergraduate pathway,Undergraduate,Flexible / undecided,Australia,3,6400000,3400000,9800000,Primarily self-funded,42,70,58,76,73,4100000,1400000,68,6.1,61,84,2700000,4100000,6100000,24,700000,58,australia_home_affairs,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500,2026-08-23,low,Occupation alignment and policy can change
career-008,European public STEM undergraduate pathway,Undergraduate,Engineering / technology,Europe,3,2200000,3000000,5200000,Low tuition / mixed funding,58,67,50,79,73,3600000,1500000,68,4.8,52,86,2400000,3600000,5200000,28,700000,55,eu_study,https://education.ec.europa.eu/study-in-europe,2026-08-23,low,Language and country-specific labour outcomes vary
career-009,US STEM master's pathway,Master's,Engineering / technology,United States,2,6200000,2600000,8800000,Mixed funding,45,76,70,90,89,7800000,2100000,81,3.8,70,88,5000000,7800000,11500000,27,1200000,62,educationusa,https://educationusa.state.gov/,2026-08-23,low,Prior experience and sponsorship materially affect realised ROI
career-010,US data and AI master's pathway,Master's,Data / AI,United States,2,6800000,2700000,9500000,Mixed funding,41,76,72,91,92,8500000,2400000,83,3.6,73,89,5400000,8500000,12500000,28,1300000,63,educationusa,https://educationusa.state.gov/,2026-08-23,low,Hiring cycles create a wide outcome distribution
career-011,US healthcare analytics master's pathway,Master's,Healthcare / life sciences,United States,2,6500000,2700000,9200000,Mixed funding,40,70,70,88,84,7200000,2100000,77,4.2,72,88,4600000,7200000,10200000,27,1100000,58,educationusa,https://educationusa.state.gov/,2026-08-23,low,Licensure and role eligibility require programme-specific review
career-012,Canadian data master's pathway,Master's,Data / AI,Canada,2,3900000,2300000,6200000,Mixed funding,50,70,62,82,80,4900000,1900000,74,4.1,63,88,3200000,4900000,7200000,24,1200000,66,canada_labour,https://www150.statcan.gc.ca/n1/pub/75-006-x/2025001/article/00002-eng.htm,2026-08-23,medium,International graduate outcomes can trail domestic peers
career-013,Canadian engineering master's pathway,Master's,Engineering / technology,Canada,2,3700000,2300000,6000000,Mixed funding,52,70,62,80,78,4600000,1800000,73,4.2,62,88,3000000,4600000,6800000,24,1200000,64,canada_labour,https://www150.statcan.gc.ca/n1/pub/75-006-x/2025001/article/00002-eng.htm,2026-08-23,medium,Co-op and province materially affect outcomes
career-014,UK one-year business master's pathway,Master's,Business / management,United Kingdom,1,4200000,1600000,5800000,Primarily self-funded,38,66,66,84,76,4500000,1800000,69,4.4,67,90,2900000,4500000,6700000,25,1200000,63,uk_graduate_visa,https://www.gov.uk/graduate-visa,2026-08-23,medium,Short duration lowers cost but compresses recruiting
career-015,UK data master's pathway,Master's,Data / AI,United Kingdom,1,4500000,1700000,6200000,Primarily self-funded,37,66,66,85,80,5000000,2000000,71,4.1,68,90,3200000,5000000,7400000,25,1300000,62,uk_graduate_visa,https://www.gov.uk/graduate-visa,2026-08-23,medium,Sponsorship and practical experience remain decisive
career-016,UK public policy master's pathway,Master's,Social sciences / public policy,United Kingdom,1,3900000,1600000,5500000,Primarily self-funded,42,64,64,84,68,3600000,1500000,64,5.2,66,91,2300000,3600000,5200000,23,1000000,58,uk_graduate_visa,https://www.gov.uk/graduate-visa,2026-08-23,low,Financial ROI is sensitive to employer and return-to-India path
career-017,European public STEM master's pathway,Master's,Engineering / technology,Europe,2,1500000,2300000,3800000,Low tuition / mixed funding,66,70,50,83,78,4300000,1800000,72,3.5,50,91,2800000,4300000,6200000,29,1200000,60,eu_study,https://education.ec.europa.eu/study-in-europe,2026-08-23,low,Country language and permit rules vary
career-018,European data and AI master's pathway,Master's,Data / AI,Europe,2,1800000,2400000,4200000,Low tuition / mixed funding,62,70,52,85,82,4800000,2100000,75,3.3,52,91,3100000,4800000,7000000,29,1300000,61,eu_study,https://education.ec.europa.eu/study-in-europe,2026-08-23,low,Local language can materially change hiring access
