record_id,pathway,pathway_score,on_pareto_frontier
house-001,Growth,74.92,False
house-002,Stable,71.22,False
house-003,Growth,74.05,False
house-004,Stable,68.85,False
house-005,Growth,74.18,False
house-006,Stable,74.9,False
house-007,Growth,75.06,True
house-008,Stable,64.58,False
house-009,Growth,76.05,True
house-010,Stable,69.94,False
house-011,Growth,74.69,True
house-012,Stable,66.07,False
house-013,Growth,76.65,True
house-014,Stable,73.43,True
house-015,Growth,71.87,True
house-016,Stable,62.0,True
house-017,Stable,69.98,False
house-018,Growth,70.9,True
house-019,Stable,66.95,True
house-020,Growth,74.48,True
house-021,Stable,73.06,True
house-022,Stable,74.22,False
house-023,Stable,63.87,False
house-024,Stable,65.37,False
house-025,Growth,70.61,True
house-026,Stable,66.69,True
house-027,Growth,71.42,True
house-028,Stable,63.97,True
