record_id,option_name,degree_level,field,target_region,duration_years,tuition_inr,living_cost_inr,total_cost_inr,funding_model,scholarship_score,work_rights_score,visa_uncertainty_score,quality_score,employability_score,overseas_start_salary_inr,india_return_salary_inr,employment_probability_score,roi_horizon_years,risk_score,source_id,source_url,observed_on,confidence,notes
career-001,US selective STEM undergraduate archetype,Undergraduate,Engineering / technology,United States,4,12000000,4800000,16800000,Primarily self-funded,35,72,68,92,88,7200000,1800000,78,5.8,72,careersim_overseas_archetypes,https://educationusa.state.gov/,2026-08-23,low,Illustrative range; verify programme cost aid outcomes and current visa rules
career-002,Canadian technology undergraduate archetype,Undergraduate,Engineering / technology,Canada,4,6500000,3600000,10100000,Primarily self-funded,45,74,58,80,78,4200000,1500000,72,5.4,62,careersim_overseas_archetypes,https://www.canada.ca/en/services/immigration-citizenship.html,2026-08-23,low,Illustrative range; provincial and programme outcomes vary
career-003,UK business undergraduate archetype,Undergraduate,Business / management,United Kingdom,3,7200000,3000000,10200000,Primarily self-funded,32,68,64,82,76,4200000,1400000,70,6.0,68,careersim_overseas_archetypes,https://www.gov.uk/student-visa,2026-08-23,low,Illustrative range; placement access and sponsorship require verification
career-004,Australian applied undergraduate archetype,Undergraduate,Flexible / undecided,Australia,3,6200000,3300000,9500000,Primarily self-funded,40,72,55,76,75,4000000,1400000,70,5.8,60,careersim_overseas_archetypes,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500,2026-08-23,low,Illustrative range; occupation pathways and policy can change
career-005,US STEM master's archetype,Master's,Engineering / technology,United States,2,6200000,2600000,8800000,Mixed funding,42,76,70,90,90,7800000,2100000,82,3.6,70,careersim_overseas_archetypes,https://educationusa.state.gov/,2026-08-23,low,Illustrative range; salary geography and sponsorship materially affect ROI
career-006,US data and AI master's archetype,Master's,Data / AI,United States,2,6800000,2700000,9500000,Mixed funding,38,76,72,91,92,8500000,2400000,84,3.5,73,careersim_overseas_archetypes,https://educationusa.state.gov/,2026-08-23,low,Illustrative range; outcomes depend on prior experience and hiring cycle
career-007,Canadian data master's archetype,Master's,Data / AI,Canada,2,3800000,2200000,6000000,Mixed funding,48,72,60,82,81,4800000,1900000,76,3.9,62,careersim_overseas_archetypes,https://www.canada.ca/en/services/immigration-citizenship.html,2026-08-23,low,Illustrative range; verify current post-study eligibility
career-008,UK one-year business master's archetype,Master's,Business / management,United Kingdom,1,4200000,1600000,5800000,Primarily self-funded,36,66,66,84,78,4500000,1800000,72,4.2,67,careersim_overseas_archetypes,https://www.gov.uk/student-visa,2026-08-23,low,Short duration reduces living cost but recruitment timing is compressed
career-009,European public STEM master's archetype,Master's,Engineering / technology,Europe,2,1500000,2300000,3800000,Low tuition / mixed funding,62,70,48,83,78,4200000,1800000,74,3.2,50,careersim_overseas_archetypes,https://education.ec.europa.eu/study-in-europe,2026-08-23,low,Country language labour market and permit rules vary materially
career-010,European data and AI master's archetype,Master's,Data / AI,Europe,2,1800000,2400000,4200000,Low tuition / mixed funding,58,70,50,85,82,4700000,2100000,77,3.1,52,careersim_overseas_archetypes,https://education.ec.europa.eu/study-in-europe,2026-08-23,low,Illustrative range; verify language and local hiring conditions
career-011,Australian professional master's archetype,Master's,Flexible / undecided,Australia,2,4000000,2300000,6300000,Mixed funding,44,70,57,78,76,4600000,1700000,72,4.2,60,careersim_overseas_archetypes,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500,2026-08-23,low,Programme accreditation and occupation alignment require verification
career-012,US funded research PhD archetype,PhD,Flexible / undecided,United States,5,0,5000000,800000,Usually stipend-funded,88,68,70,92,76,6500000,1800000,68,4.5,58,careersim_overseas_archetypes,https://educationusa.state.gov/your-5-steps-us-study/research-your-options/graduate,2026-08-23,low,Net out-of-pocket estimate assumes funding; verify guarantee duration and stipend adequacy
career-013,European funded research PhD archetype,PhD,Flexible / undecided,Europe,4,0,3600000,500000,Usually salaried or stipend-funded,90,72,48,88,74,4800000,1700000,70,4.0,45,careersim_overseas_archetypes,https://euraxess.ec.europa.eu/jobs,2026-08-23,low,Employment status funding and language vary by country
career-014,UK funded research PhD archetype,PhD,Flexible / undecided,United Kingdom,4,0,4000000,900000,Funding-dependent,82,64,62,87,72,5000000,1700000,66,4.4,56,careersim_overseas_archetypes,https://www.ukri.org/what-we-do/developing-people-and-skills/,2026-08-23,low,Proceed only with clear funding and supervision fit
career-015,Canadian funded research PhD archetype,PhD,Flexible / undecided,Canada,5,0,4200000,700000,Funding-dependent,84,70,58,85,73,4800000,1700000,68,4.5,53,careersim_overseas_archetypes,https://www.canada.ca/en/services/immigration-citizenship.html,2026-08-23,low,Verify annual funding package tuition offsets and completion expectations
