record_id,option_name,segment,pathway,pathway_score,problem_opportunity_score,whitespace_score,payer_confidence_score,solution_saturation_score,capital_to_evidence_ratio,authority_score,affordability_reference,resilience_reference
problem-001,Indian households and small organisations make expensive education property and business decisions using fragmented information and seller-led advice,Decision intelligence · High-stakes decisions,Growth,79.92,79.92,79.0,68.0,33.95,9.97,65.0,70.09801136363637,84.0
problem-002,Indian students risk excessive debt because course costs employment outcomes visa pathways and India-return earnings are difficult to compare,Education · Overseas education ROI,Growth,81.16,81.16,77.0,74.0,41.5,9.4,65.0,71.80000000000001,88.0
problem-003,Home buyers struggle to combine affordability legal diligence climate exposure liveability and resale risk before committing capital,Housing · Property diligence,Growth,80.56,80.56,70.0,82.0,53.95,9.36,65.0,71.92391304347827,78.0
problem-004,Urban customers value rapid delivery of frequent low-ticket essentials but density and delivery economics vary sharply,Commerce · Fast convenience delivery,Persistent,69.88,69.88,28.0,86.0,87.1,12.53,65.0,62.40000000000001,90.0
problem-005,Consumers and small merchants need dependable digital access to broad product selection payments delivery and returns,Commerce · E-commerce access,Persistent,70.68,70.68,18.0,90.0,89.8,11.66,65.0,65.01052631578949,92.0
problem-006,People and merchants need low-friction trusted real-time payments across formal and informal commerce,Finance · Digital payments,Persistent,74.35,74.35,15.0,92.0,94.25,10.37,45.0,68.88647959183675,72.0
problem-007,Small businesses face delayed receivables volatile cash flow and limited appropriately priced working capital,Finance · MSME working capital,Growth,80.19,80.19,62.0,88.0,61.9,9.26,65.0,72.22606382978722,62.0
problem-008,Digital users lose money and trust through scams impersonation and unauthorised transactions,Finance · Consumer fraud protection,Growth,78.9,78.9,71.0,66.0,54.5,9.6,65.0,71.19680851063829,76.0
problem-009,Many households face delayed or inconvenient access to affordable qualified primary care and diagnostics,Health · Primary care access,Growth,77.43,77.43,65.0,78.0,64.15,9.79,65.0,70.64453125,58.0
problem-010,People with chronic conditions struggle with adherence monitoring follow-up and coordinated long-term care,Health · Chronic care continuity,Growth,82.39,82.39,76.0,72.0,51.3,8.58,65.0,74.25526315789472,62.0
problem-011,People face shortages stigma cost and continuity barriers when seeking appropriate mental-health support,Health · Mental health access,Growth,74.26,74.26,73.0,58.0,45.65,11.07,65.0,66.79211956521738,60.0
problem-012,Families struggle to coordinate trusted home care medication monitoring emergencies and companionship for older adults,Health · Elder care coordination,Growth,80.9,80.9,77.0,76.0,44.1,9.17,65.0,72.5,70.0
problem-013,Students spend substantial time and money without consistently achieving foundational learning or employable capability,Education · Learning outcomes,Persistent,79.87,79.87,49.0,82.0,71.6,9.15,65.0,72.5546875,88.0
problem-014,Young people struggle to translate education and training into verified skills credible experience and suitable employment,Education · Skills to employment,Growth,79.68,79.68,61.0,74.0,63.7,9.2,45.0,72.40625,90.0
problem-015,Small producers face weak price discovery fragmented buyers and high transaction costs when selling output,Agriculture · Market access,Growth,77.39,77.39,66.0,70.0,59.2,9.9,65.0,70.30789473684212,64.0
problem-016,Perishable agricultural output loses value through inadequate storage handling transport and demand coordination,Agriculture · Post-harvest loss,Growth,80.24,80.24,72.0,80.0,55.2,9.24,65.0,72.2659574468085,72.0
problem-017,Small firms struggle to obtain predictable transparent and trackable movement of goods across fragmented logistics providers,Logistics · MSME freight reliability,Persistent,77.17,77.17,48.0,86.0,72.5,10.28,65.0,69.1603260869565,90.0
problem-018,Households businesses and cities struggle to segregate collect trace and economically recover material from waste,Urban services · Waste recovery,Growth,80.53,80.53,76.0,62.0,45.9,9.17,65.0,72.4973404255319,70.0
problem-019,Households and businesses face unreliable quality and availability of water with limited monitoring and accountability,Urban services · Water reliability,Growth,82.41,82.41,79.0,68.0,46.95,8.49,65.0,74.53515625,58.0
problem-020,Households farms and businesses lack actionable local tools to prepare for heat flood water and other climate exposures,Climate · Local adaptation,Growth,78.53,78.53,80.0,58.0,39.3,9.7,65.0,70.90159574468085,72.0
problem-021,Small enterprises lack accessible measurement financing and implementation support to reduce energy cost and emissions,Energy · MSME efficiency,Growth,77.99,77.99,69.0,82.0,52.6,10.28,65.0,69.15833333333333,78.0
problem-022,Citizens and small firms struggle to discover determine eligibility for and complete applications for public schemes,Government services · Scheme discovery,Persistent,66.74,66.74,57.0,38.0,59.9,13.11,65.0,60.657608695652186,88.0
problem-023,Individuals and small businesses struggle to understand rights documents processes and affordable routes to resolution,Legal · Affordable legal navigation,Growth,75.3,75.3,72.0,70.0,47.3,10.79,45.0,67.63586956521739,68.0
problem-024,Gig and informal workers face volatile income weak benefits limited protection and fragmented financial records,Work · Gig worker resilience,Growth,76.08,76.08,69.0,48.0,42.7,10.35,45.0,68.9468085106383,66.0
problem-025,Working families struggle to find trusted affordable flexible childcare with transparent quality and safety,Care · Childcare reliability,Growth,79.92,79.92,72.0,78.0,49.3,9.43,45.0,71.70967741935485,64.0
problem-026,People with disabilities face inaccessible digital services transport workplaces education and assisted support,Accessibility · Disability inclusion,Growth,81.87,81.87,81.0,52.0,39.4,8.63,65.0,74.1171875,80.0
problem-027,Women face safety reliability and accountability constraints in daily travel and public-space access,Security · Women mobility safety,Growth,76.8,76.8,70.0,56.0,55.8,10.05,65.0,69.8421052631579,74.0
problem-028,Small merchants need simple interoperable tools for inventory billing customer retention compliance and cash-flow visibility,Commerce · Small merchant digitisation,Persistent,79.05,79.05,51.0,84.0,72.4,9.56,65.0,71.31648936170212,92.0
problem-029,Indian SMEs lose liquidity and management time because business invoices are paid late and collections are fragmented,B2B · Receivables collection,Growth,83.08,83.08,68.0,90.0,59.8,8.4,65.0,74.8,66.0
problem-030,Users with limited English proficiency face difficulty understanding and completing consequential digital tasks in their preferred language,Language · Vernacular digital access,Growth,78.35,78.35,62.0,62.0,63.45,9.55,65.0,71.36328125,90.0
