record_id,domain,subdomain,problem_statement,keywords,affected_segment,geography,problem_reality_score,severity_score,frequency_score,willingness_to_pay_score,solution_coverage_score,solution_effectiveness_score,regulatory_feasibility_score,whitespace_score,successful_solution_examples,remaining_gap,source_id,source_url,observed_on,confidence,notes
problem-001,Decision intelligence,High-stakes decisions,Indian households and small organisations make expensive education property and business decisions using fragmented information and seller-led advice,decision|high stakes|education|property|startup|fragmented|advice|risk,Households and MSMEs,India,88,84,72,68,28,45,84,79,Advisers;comparison portals;brokers,Independent evidence-linked optimisation remains limited,mospi_compendium,https://www.mospi.gov.in/uploads/announcements/announcements_1769778908344_7ee8297b-535c-4256-b8c6-06c5b95f7685_Compendium_of_Datasets_and_Registries_in_India%2C_2025.pdf,2026-08-23,medium,ConSaaS synthesis of cross-domain decision friction
problem-002,Education,Overseas education ROI,Indian students risk excessive debt because course costs employment outcomes visa pathways and India-return earnings are difficult to compare,overseas education|student|degree|university|loan|visa|employment|roi,Indian students and families,India,90,88,68,74,38,48,88,77,Education consultants;university portals;loan marketplaces,Independent downside-adjusted programme comparison is fragmented,mospi_education,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Problem magnitude varies by programme and funding
problem-003,Housing,Property diligence,Home buyers struggle to combine affordability legal diligence climate exposure liveability and resale risk before committing capital,house|property|home buyer|title|rera|flood|loan|resale,Urban home buyers,Urban India,92,94,62,82,55,52,78,70,Property portals;brokers;legal advisers,Integrated buyer-side decision intelligence remains uneven,nhb_residex,https://residex.nhbonline.org.in/,2026-08-23,medium,Exact property evidence remains essential
problem-004,Commerce,Fast convenience delivery,Urban customers value rapid delivery of frequent low-ticket essentials but density and delivery economics vary sharply,quick commerce|delivery|grocery|essential|ten minute|convenience,Urban consumers,Major metros,90,55,92,86,92,78,90,28,Blinkit;Zepto;Swiggy Instamart,Low-density and low-basket segments remain difficult,asuse,https://www.mospi.gov.in/press-release/press-release-reports-annual-survey-unincorporated-sector-enterprises-asuse,2026-08-23,medium,Crowded category rather than broad white space
problem-005,Commerce,E-commerce access,Consumers and small merchants need dependable digital access to broad product selection payments delivery and returns,ecommerce|online shopping|merchant|delivery|returns|marketplace,Consumers and merchants,India,95,65,80,90,94,82,92,18,Amazon India;Flipkart;Meesho,Trust logistics and language gaps remain in some segments,asuse,https://www.mospi.gov.in/press-release/press-release-reports-annual-survey-unincorporated-sector-enterprises-asuse,2026-08-23,medium,Mature solution landscape
problem-006,Finance,Digital payments,People and merchants need low-friction trusted real-time payments across formal and informal commerce,upi|payment|merchant|transaction|cashless|digital money,Consumers and merchants,India,98,82,96,92,96,91,72,15,UPI apps;banks;payment gateways,Fraud support and assisted access remain gaps,rbi,https://data.rbi.org.in/,2026-08-23,high,Core payment rail is highly covered
problem-007,Finance,MSME working capital,Small businesses face delayed receivables volatile cash flow and limited appropriately priced working capital,msme|working capital|invoice|receivable|credit|cash flow,MSMEs,India,94,90,78,88,64,58,62,62,Banks;NBFCs;invoice platforms,Underwriting and collections for thin-file firms remain gaps,msme,https://msme.gov.in/,2026-08-23,medium,Regulation and credit risk are material
problem-008,Finance,Consumer fraud protection,Digital users lose money and trust through scams impersonation and unauthorised transactions,fraud|scam|upi|cyber|transaction|identity|consumer protection,Digital consumers,India,94,92,74,66,58,48,76,71,Banks;cybercrime portals;fraud tools,Prevention and rapid coordinated recovery remain incomplete,rbi,https://www.rbi.org.in/,2026-08-23,medium,Requires ecosystem coordination
problem-009,Health,Primary care access,Many households face delayed or inconvenient access to affordable qualified primary care and diagnostics,healthcare|doctor|clinic|diagnostic|primary care|access,Households,India,96,95,58,78,68,57,58,65,Hospital networks;telemedicine;diagnostic chains,Rural and small-city continuity remains uneven,mospi_health,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Clinical quality and regulation are gates
problem-010,Health,Chronic care continuity,People with chronic conditions struggle with adherence monitoring follow-up and coordinated long-term care,chronic|diabetes|hypertension|adherence|monitoring|follow up,Patients with chronic conditions,India,95,94,90,72,52,50,62,76,Hospitals;pharmacies;health apps,Outcome-linked continuous care remains fragmented,mospi_health,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Needs clinical evidence and trust
problem-011,Health,Mental health access,People face shortages stigma cost and continuity barriers when seeking appropriate mental-health support,mental health|therapy|counselling|stress|depression|access,Adolescents and adults,India,92,90,55,58,46,45,60,73,Clinics;helplines;therapy platforms,Affordable stepped care and continuity remain underserved,mospi_health,https://www.mospi.gov.in/sites/default/files/national_data_bank/ndb-rpts.htm,2026-08-23,medium,Clinical safety and crisis handling are mandatory
problem-012,Health,Elder care coordination,Families struggle to coordinate trusted home care medication monitoring emergencies and companionship for older adults,elder care|senior|home care|medication|caregiver|emergency,Older adults and families,India,93,90,68,76,42,48,70,77,Home-care agencies;hospitals;senior living,Trust quality and affordable coordination remain gaps,lasi,https://www.iipsindia.ac.in/content/lasi-publications,2026-08-23,medium,Local service execution matters
